timestep,mean,median,mode
T470,43.1,43.5,45
T471,42.55,42.0,40
T472,43.55,43.0,40
T473,43.35,42.0,39
T474,45.7,46.5,41
T475,44.45,44.5,48
T476,46.95,47.5,44
T477,44.4,42.5,42
T478,47.1,48.0,48
T479,48.65,48.0,52
T480,50.75,50.5,51
T481,50.55,51.0,52
T482,53.0,53.0,57
T483,53.0,53.5,43
T484,53.9,54.0,54
T485,54.95,54.5,54
T486,56.6,55.5,53
T487,61.25,62.0,65
T488,59.0,60.0,64
T489,62.05,60.5,65
T490,63.75,64.0,67
T491,65.25,65.0,64
T492,67.65,68.0,70
T493,168.4,156.5,153
T494,171.4,152.5,138
T495,170.3,164.0,180
T496,177.1,168.0,133
T497,173.5,158.0,145
T498,161.55,142.0,166
T499,174.9,153.0,158
T500,177.65,164.5,161
T501,174.8,155.0,145
T502,175.15,160.5,106
T503,173.25,159.0,188
T504,183.35,160.0,159
T505,172.35,167.0,122
T506,172.75,150.0,130
T507,183.0,167.5,163
T508,182.25,183.5,184
T509,192.35,180.5,194
T510,187.2,176.0,189
T511,182.45,158.5,160
T512,175.95,159.0,140
T513,167.95,159.0,103
T514,178.35,173.5,177
T515,174.7,151.5,92
T516,166.3,161.0,163
T517,168.5,161.0,102
T518,165.55,169.0,178
T519,164.45,173.5,184
T520,162.55,155.0,168
T521,175.95,153.5,149
T522,173.15,160.5,172
T523,160.55,151.0,160
T524,165.6,154.5,193
T525,163.2,149.5,147
T526,165.8,140.0,187
T527,160.5,135.0,165
T528,158.75,143.0,161
T529,50.2,51.5,53
T530,50.4,50.0,50
T531,48.2,50.0,50
T532,49.3,50.0,50
T533,46.45,46.5,43
T534,46.05,45.5,43
T535,44.6,45.5,42
T536,44.55,44.0,43
T537,44.2,44.0,44
T538,44.25,43.5,42
T539,43.4,42.5,42
T540,41.2,41.0,41
T541,42.9,43.0,43
T542,42.85,43.0,42
T543,42.4,41.5,41
T544,40.3,41.5,40
T545,40.25,38.5,38
T546,41.45,42.0,42
T547,39.85,40.0,43
T548,41.15,41.5,42
T549,42.75,43.0,45
T550,41.3,42.0,46
T551,37.8,36.0,36
T552,41.4,41.0,41
T553,41.55,42.5,43
T554,38.45,38.5,40
T555,39.95,40.0,43
T556,38.35,38.0,39
T557,41.95,42.0,42
T558,39.9,40.0,42
T559,40.8,42.0,38
T560,40.2,38.5,37
T561,43.05,42.0,39
T562,38.85,40.5,41
T563,38.6,39.5,42
T564,40.15,40.5,38
T565,40.15,40.5,41
T566,40.2,38.0,36
T567,41.75,41.0,40
T568,40.2,40.0,40
T569,40.95,42.5,43
T570,40.4,40.5,39
T571,41.2,42.5,43
T572,40.85,40.5,45
T573,38.6,39.5,40
T574,43.1,42.0,41
T575,40.35,38.5,36
T576,38.55,38.5,42
T577,40.4,39.5,40
T578,39.1,40.0,46
T579,39.55,39.5,39
T580,40.15,40.0,39
T581,39.25,38.5,36
T582,40.5,41.5,38
T583,39.25,39.5,39
T584,37.25,38.0,42
T585,40.95,41.0,43
T586,40.1,40.0,38
T587,39.6,39.0,36
T588,39.75,39.0,38
T589,41.3,41.0,41
T590,41.65,42.5,43
T591,40.4,40.0,39
T592,40.35,41.0,37
T593,38.8,40.5,42
T594,37.95,37.5,35
T595,39.5,39.5,43
T596,41.45,41.0,41
T597,39.8,40.0,38
T598,40.65,41.0,39
T599,40.15,39.0,39
T600,38.95,40.5,40
T601,40.8,40.0,41
T602,38.9,38.0,38
T603,41.3,40.0,40
T604,40.05,40.0,38
T605,39.85,40.5,42
T606,39.15,39.5,35
T607,40.05,39.5,39
T608,38.25,38.5,41
T609,39.65,39.5,37
T610,40.95,39.5,38
T611,42.65,42.0,40
T612,40.45,40.5,36
T613,39.9,41.0,36
T614,41.4,40.0,47
T615,39.85,39.0,37
T616,39.45,39.5,42
T617,39.1,39.0,39
T618,40.45,41.0,42
T619,39.55,39.5,40
T620,39.6,40.5,42
T621,43.55,43.5,41
T622,39.9,38.0,35
T623,39.65,38.5,37
T624,36.95,38.0,38
T625,41.25,42.5,44
T626,41.35,41.0,41
T627,41.75,43.5,44
T628,38.35,38.0,42
T629,40.7,42.0,46
T630,40.35,40.5,45
T631,39.65,40.0,41
T632,39.25,40.0,40
T633,37.0,38.0,45
T634,40.0,39.5,36
T635,40.15,41.0,41
T636,39.3,38.5,35
T637,40.7,40.5,37
T638,40.15,40.5,40
T639,42.75,43.5,46
T640,42.5,42.0,42
T641,43.7,44.5,45
T642,41.05,39.5,39
T643,39.9,39.5,44
T644,41.0,40.0,42
T645,39.85,39.5,42
T646,42.75,43.0,46
T647,40.75,40.0,46
T648,40.45,41.0,36
T649,40.45,41.0,38
T650,43.4,43.0,43
T651,44.8,46.5,47
T652,42.9,43.0,45
T653,45.25,45.0,48
T654,46.6,47.5,49
T655,45.2,46.0,46
T656,45.9,45.0,45
T657,47.35,47.5,44
T658,49.9,49.5,48
T659,46.05,46.0,47
T660,50.85,51.0,51
T661,50.55,49.0,49
T662,51.85,53.0,55
T663,53.1,53.5,58
T664,55.0,53.5,53
T665,56.0,55.5,61
T666,58.3,57.0,56
T667,59.1,60.0,64
T668,61.65,61.5,58
T669,63.1,62.0,62
T670,64.2,64.5,67
T671,67.2,68.0,70
T672,67.45,68.0,68
T673,112.5,99.0,117
T674,123.8,119.5,17
T675,126.7,114.5,77
T676,135.95,129.0,22
T677,144.1,141.5,21
T678,155.05,172.5,122
T679,164.15,166.5,41
T680,171.3,159.0,47
T681,164.4,144.0,50
T682,171.85,153.5,45
T683,167.5,151.0,33
T684,175.7,150.5,36
T685,176.05,156.0,191
T686,174.6,149.0,30
T687,181.65,158.5,171
T688,181.4,173.5,21
T689,186.55,156.5,26
T690,199.3,166.5,29
T691,200.9,159.0,40
T692,203.7,170.5,212
T693,209.7,169.5,155
T694,200.4,165.0,34
T695,202.35,179.0,28
T696,199.5,184.0,39
T697,204.9,172.5,31
T698,196.05,158.5,32
T699,188.75,164.0,154
T700,196.0,162.0,37
T701,193.05,153.0,31
T702,181.95,146.0,146
T703,187.2,157.5,33
T704,184.85,152.5,36
T705,186.7,150.0,150
T706,178.95,165.0,179
T707,181.85,164.5,28
T708,176.55,153.5,27
T709,51.85,52.0,52
T710,50.1,49.5,55
T711,48.6,48.0,45
T712,49.65,50.0,53
T713,47.4,46.0,46
T714,47.25,48.0,48
T715,45.5,46.0,46
T716,44.2,45.5,46
T717,44.65,45.5,46
T718,44.25,44.0,46
T719,43.4,41.5,41
T720,42.55,41.5,41
T721,40.6,41.0,39
T722,42.85,42.5,46
T723,43.4,43.5,41
T724,40.8,41.0,42
T725,39.65,40.5,42
T726,40.3,41.0,41
T727,41.95,42.5,41
T728,40.2,41.0,43
T729,40.3,41.0,41
T730,40.95,40.0,36
T731,41.5,40.5,49
T732,38.95,38.5,37
T733,39.75,39.5,39
T734,41.1,41.0,41
T735,38.9,38.5,33
T736,39.7,40.5,43
T737,40.4,41.0,43
T738,39.5,39.0,37
T739,39.95,38.5,44
T740,40.25,41.5,46
T741,40.0,39.5,38
T742,40.7,41.5,43
T743,37.65,38.5,40
T744,39.6,40.0,35
T745,40.85,39.5,38
T746,38.5,40.0,40
T747,38.6,38.0,38
T748,41.2,41.0,41
T749,40.6,40.5,49
T750,40.45,41.0,44
T751,42.45,42.0,42
T752,40.5,40.5,42
T753,42.35,43.0,43
T754,42.95,42.5,42
T755,42.75,41.5,36
T756,40.25,40.0,40
T757,41.2,40.5,43
T758,41.0,41.0,41
T759,45.4,45.0,48
T760,44.15,44.0,42
T761,42.85,42.0,42
T762,45.7,47.0,48
T763,45.4,45.0,47
T764,46.45,46.0,42
T765,46.5,47.0,48
T766,48.5,49.0,49
T767,49.5,49.0,46
T768,50.4,49.5,57
T769,50.75,51.0,47
T770,52.25,52.0,51
T771,54.3,54.5,55
T772,54.15,54.0,54
T773,56.75,56.0,55
T774,57.85,59.5,60
T775,63.45,64.5,68
T776,60.15,59.0,58
T777,62.9,62.5,59
T778,62.75,62.5,62
T779,64.1,64.0,64
T780,65.35,65.5,66
T781,150.6,139.0,163
T782,154.2,122.5,90
T783,157.2,133.0,21
T784,154.8,129.5,23
T785,152.65,129.0,24
T786,155.85,129.0,26
T787,158.5,138.5,114
T788,161.5,145.0,24
T789,159.1,140.5,86
T790,165.05,143.0,157
T791,168.65,150.0,177
T792,158.8,128.0,21
T793,151.9,120.0,24
T794,163.15,142.5,30
T795,165.6,144.5,163
T796,171.5,138.5,30
T797,152.7,127.0,19
T798,148.9,132.0,162
T799,153.65,128.0,163
T800,163.25,128.0,27
T801,158.45,131.5,178
T802,156.55,127.5,23
T803,159.3,131.0,27
T804,156.55,134.0,24
T805,158.75,133.5,28
T806,157.35,133.5,113
T807,162.1,140.0,24
T808,166.4,147.0,98
T809,170.35,143.0,26
T810,168.85,148.0,25
T811,163.85,147.5,20
T812,169.0,136.0,81
T813,165.35,137.0,20
T814,157.05,136.5,21
T815,162.75,116.5,29
T816,158.8,124.5,29
T817,53.3,53.0,58
T818,49.6,49.0,45
T819,49.9,49.0,51
T820,46.3,46.0,43
T821,46.25,46.0,44
T822,46.3,46.5,47
T823,46.15,46.5,47
T824,47.05,47.0,45
T825,42.35,43.0,43
T826,44.5,44.0,37
T827,44.6,44.5,45
T828,43.1,44.5,47
T829,42.5,43.5,42
T830,43.45,43.0,37
T831,42.45,43.0,47
T832,42.3,42.0,42
T833,41.1,41.0,41
T834,40.25,40.0,39
T835,39.8,39.5,37
T836,41.25,42.0,38
T837,42.4,42.5,39
T838,39.25,41.0,42
T839,40.25,40.5,34
T840,39.8,41.0,46
T841,40.85,40.0,40
T842,41.45,41.0,40
T843,42.75,43.5,45
T844,39.45,39.0,38
T845,40.75,40.5,38
T846,37.9,37.0,36
T847,41.85,42.0,43
T848,38.85,39.0,39
T849,39.9,41.0,44
T850,41.65,41.0,40
T851,38.35,38.5,40
T852,39.75,40.0,44
T853,38.9,38.5,37
T854,41.55,41.0,40
T855,38.8,38.0,37
T856,39.7,40.0,41
T857,41.05,41.5,42
T858,40.55,41.0,32
T859,39.65,40.0,30
T860,38.85,38.5,40
T861,38.85,38.5,41
T862,39.65,40.5,35
T863,39.6,38.5,38
T864,38.6,38.0,38
T865,40.25,38.0,38
T866,38.35,39.0,41
T867,41.2,40.5,38
T868,41.45,41.5,36
T869,41.1,41.5,48
T870,41.3,41.0,41
T871,39.2,40.0,40
T872,40.3,40.0,40
T873,39.0,39.5,42
T874,39.5,39.5,43
T875,38.7,39.0,45
T876,39.8,40.0,40
T877,38.7,40.0,33
T878,40.05,41.0,41
T879,40.45,42.0,42
T880,39.75,40.0,38
T881,39.0,38.5,40
T882,39.75,40.5,43
T883,40.0,39.5,41
T884,38.9,40.0,40
T885,39.95,40.5,46
T886,40.65,40.5,37
T887,38.95,39.0,39
T888,38.85,38.5,40
T889,40.2,40.0,40
T890,42.0,43.0,47
T891,41.1,42.0,43
T892,41.7,42.0,46
T893,40.8,40.0,40
T894,39.05,38.0,38
T895,39.15,39.5,40
T896,39.45,39.5,38
T897,37.45,36.5,43
T898,40.85,40.0,37
T899,42.85,42.5,41
T900,39.65,39.0,43
T901,40.45,40.0,37
T902,38.4,38.5,39
T903,39.85,39.0,35
T904,39.0,38.0,38
T905,39.0,39.0,37
T906,38.8,38.0,37
T907,40.2,39.0,38
T908,41.2,40.0,40
T909,41.05,41.0,36
T910,41.2,41.5,40
T911,38.45,38.5,39
T912,40.35,41.0,45
T913,39.35,40.0,40
T914,37.7,38.0,40
T915,40.4,42.0,41
T916,38.35,39.5,40
T917,38.15,38.0,39
T918,38.85,38.0,37
T919,40.15,39.0,39
T920,40.1,40.0,37
T921,39.95,40.5,34
T922,40.1,40.0,41
T923,39.55,39.0,42
T924,40.1,40.0,39
T925,41.85,40.5,39
T926,40.75,40.0,39
