node_ID,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16
1148450802#3-AddedOffRampNode,0,0,1,18,4,9,13,12,14,14,8,6,13,12,6,1,0
11645479497,1,9,6,6,11,15,6,7,3,12,8,7,8,1,0,0,0
1165379278#1-AddedOnRampNode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11843210608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11843465408,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
11843465411,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
11846079603,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11850032639,0,3,0,0,4,2,1,1,1,3,4,1,2,1,0,0,0
11866509770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11885673193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11885673194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11885673195,1,1,9,4,3,0,5,2,4,1,1,3,0,0,0,0,0
11886524569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11888154707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11898247198,0,6,23,25,34,31,23,23,23,21,25,28,23,22,3,0,0
11898247209,1,5,22,29,34,28,27,27,36,13,31,23,25,19,2,0,0
11898868421,0,4,3,2,5,2,2,5,0,0,1,3,3,0,0,0,0
11913650423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11919870609,1,4,4,1,3,4,2,0,3,1,1,2,1,0,0,0,0
11930197761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11930220747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11932512955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11932512959,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0
1232839893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232907942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233786388#1-AddedOnRampNode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278555478-AddedOffRampNode,0,6,5,13,9,7,7,5,8,4,10,8,8,0,0,0,0
1284167425-AddedOffRampNode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284167426#0-AddedOffRampNode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284167428-AddedOnRampNode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130302887#1-AddedOnRampNode,0,1,4,8,12,15,10,8,6,13,16,10,14,11,8,1,0
1435578861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435578872,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1435578873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435578876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435578877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435578886,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1435578887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435578901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435578902,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1435591532,0,3,3,9,6,6,2,7,3,5,5,1,3,0,0,0,0
1435591534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435591537,0,3,3,9,6,6,2,7,3,5,5,2,3,0,0,0,0
1435591550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464773274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467779077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467779086,1,4,4,1,2,4,2,0,3,1,0,2,1,0,0,0,0
1467779101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1473933577,3,3,3,1,4,3,1,1,2,1,1,2,0,0,0,0,0
1522861748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1526635282,0,3,3,2,4,8,1,2,6,4,2,4,1,0,0,0,0
1553420030,3,3,4,1,4,2,2,1,2,1,1,2,0,0,0,0,0
1553420041,1,1,1,0,2,4,2,1,0,1,0,0,0,0,0,0,0
1553420080,0,0,0,3,2,1,0,1,1,2,0,3,2,0,0,0,0
1553420147,2,1,2,1,2,0,1,1,1,3,3,1,0,0,0,0,0
1553702863,0,1,0,1,1,3,0,1,3,2,0,2,0,0,0,0,0
